GUID,Id,Name,Language
1,1,София,bg
2,2,Пловдив,bg
3,3,Варна,bg
4,4,Бургас,bg
5,5,Русе,bg
6,6,Рим,bg
7,7,Милано,bg
8,8,Неапол,bg
9,9,Флоренция,bg
10,10,Венеция,bg
11,11,Париж,bg
12,12,Лион,bg
13,13,Марсилия,bg
14,14,Тулуза,bg
15,15,Ница,bg
16,16,Мадрид,bg
17,17,Барселона,bg
18,18,Валенсия,bg
19,19,Севиля,bg
20,20,Сарагоса,bg
21,21,Виена,bg
22,22,Залцбург,bg
23,23,Инсбрук,bg
24,24,Грац,bg
25,25,Линц,bg
26,1,Sofia,de
27,2,Plowdiw,de
28,3,Warna,de
29,4,Burgas,de
30,5,Russe,de
31,6,Rom,de
32,7,Mailand,de
33,8,Neapel,de
34,9,Florenz,de
35,10,Venedig,de
36,11,Paris,de
37,12,Lyon,de
38,13,Marseille,de
39,14,Toulouse,de
40,15,Nizza,de
41,16,Madrid,de
42,17,Barcelona,de
43,18,Valencia,de
44,19,Sevilla,de
45,20,Saragossa,de
46,21,Wien,de
47,22,Salzburg,de
48,23,Innsbruck,de
49,24,Graz,de
50,25,Linz,de
51,1,Sofia,fr
52,2,Plovdiv,fr
53,3,Varna,fr
54,4,Bourgas,fr
55,5,Roussé,fr
56,6,Rome,fr
57,7,Milan,fr
58,8,Naples,fr
59,9,Florence,fr
60,10,Venise,fr
61,11,Paris,fr
62,12,Lyon,fr
63,13,Marseille,fr
64,14,Toulouse,fr
65,15,Nice,fr
66,16,Madrid,fr
67,17,Barcelone,fr
68,18,Valence,fr
69,19,Séville,fr
70,20,Saragosse,fr
71,21,Vienne,fr
72,22,Salzbourg,fr
73,23,Innsbruck,fr
74,24,Graz,fr
75,25,Linz,fr
